opportunity_id,account_id,stage,amount,created_date,close_date,is_closed_won
10000,4174,Negotiation,11347,2024-06-13,2024-08-10,False
10001,4507,Proposal,37776,2025-05-25,2025-03-15,False
10002,1860,Prospecting,7783,2024-12-03,2025-01-21,False
10003,2294,Qualification,8298,2025-05-19,2025-04-30,False
10004,2130,Proposal,8668,2024-06-10,2024-11-23,False
10005,2095,Prospecting,24671,2024-10-31,2024-12-07,False
10006,4772,Proposal,38820,2025-03-11,2025-01-09,False
10007,4092,Prospecting,38484,2024-09-01,2024-03-06,False
10008,2638,Prospecting,37078,2024-06-13,2025-08-09,False
10009,3169,Proposal,24922,2024-03-12,2025-04-02,False
10010,1466,Prospecting,38028,2025-06-02,2024-10-28,False
10011,2238,Proposal,24316,2025-04-18,2024-06-26,False
10012,1330,Negotiation,15460,2024-07-19,2024-10-22,False
10013,2482,Closed Won,20968,2024-07-08,2024-09-16,True
10014,3135,Qualification,34266,2025-03-06,2024-09-14,False
10015,4444,Qualification,34209,2024-09-21,2025-04-14,False
10016,4171,Prospecting,28000,2024-05-13,2025-04-16,False
10017,3919,Negotiation,18011,2025-05-29,2025-02-14,False
10018,4735,Negotiation,6866,2024-05-19,2024-06-28,False
10019,1130,Prospecting,9898,2024-12-20,2025-06-02,False
10020,2685,Closed Lost,22395,2025-03-05,2024-08-11,False
10021,4380,Prospecting,41707,2024-06-11,2024-02-23,False
10022,1769,Proposal,8006,2024-03-14,2024-12-24,False
10023,3391,Negotiation,38393,2024-10-08,2025-05-22,False
10024,2515,Closed Won,14956,2025-03-12,2024-10-19,True
10025,4485,Negotiation,34663,2025-02-20,2025-01-07,False
10026,3853,Closed Won,10078,2024-06-19,2025-05-09,True
10027,3433,Qualification,33631,2025-01-28,2024-03-29,False
10028,2215,Closed Won,34140,2024-03-27,2024-07-24,True
10029,1955,Prospecting,7961,2025-01-25,2024-08-03,False
10030,3324,Closed Won,33277,2025-05-03,2024-03-06,True
10031,2184,Proposal,35417,2025-01-29,2024-05-08,False
10032,1459,Closed Won,26484,2024-10-18,2024-12-16,True
10033,4385,Proposal,22103,2024-05-31,2024-03-19,False
10034,1021,Negotiation,33345,2024-05-27,2024-12-22,False
10035,3300,Proposal,5587,2024-10-27,2024-05-14,False
10036,1747,Negotiation,25031,2024-04-20,2025-02-22,False
10037,3904,Prospecting,30212,2024-05-06,2025-06-27,False
10038,4632,Prospecting,14350,2024-02-10,2024-04-03,False
10039,1474,Qualification,22816,2024-07-23,2024-06-21,False
10040,2082,Qualification,24288,2025-04-30,2024-07-27,False
10041,3558,Closed Won,33432,2024-12-04,2024-09-15,True
10042,4753,Qualification,10837,2025-03-21,2025-07-02,False
10043,3047,Closed Lost,38217,2024-05-06,2025-02-17,False
10044,4547,Qualification,24884,2024-07-24,2024-08-06,False
10045,3747,Qualification,9454,2024-06-30,2024-10-02,False
10046,1975,Negotiation,13424,2025-02-15,2024-10-29,False
10047,2806,Negotiation,40885,2025-01-15,2024-12-11,False
10048,1189,Proposal,22412,2024-09-11,2025-04-25,False
10049,4005,Proposal,24142,2024-04-21,2024-11-10,False
10050,3734,Negotiation,41392,2024-11-27,2024-04-24,False
10051,4005,Qualification,12848,2024-06-17,2025-07-05,False
10052,1562,Closed Lost,17136,2025-04-04,2024-06-11,False
10053,2899,Closed Lost,4589,2024-05-25,2024-10-24,False
10054,4638,Negotiation,24908,2024-01-02,2024-09-27,False
10055,2267,Qualification,10509,2025-05-23,2025-07-31,False
10056,3879,Negotiation,13968,2025-02-06,2024-12-22,False
10057,2528,Prospecting,6462,2025-03-28,2025-03-20,False
10058,4202,Prospecting,13460,2025-03-22,2024-09-13,False
10059,4556,Qualification,37783,2025-04-10,2024-10-08,False
10060,4890,Proposal,13275,2024-04-05,2024-07-27,False
10061,1646,Closed Won,32677,2025-06-23,2024-06-11,True
10062,3068,Negotiation,17269,2024-02-08,2024-06-04,False
10063,3888,Negotiation,4406,2024-03-02,2024-10-22,False
10064,3214,Proposal,11384,2025-03-29,2024-07-26,False
10065,2297,Qualification,26553,2024-11-19,2024-07-20,False
10066,3435,Proposal,28366,2024-07-01,2025-06-02,False
10067,1600,Closed Lost,21369,2025-04-24,2024-09-30,False
10068,3363,Prospecting,15795,2024-03-26,2025-05-07,False
10069,3061,Closed Won,8485,2024-01-02,2024-11-27,True
10070,1241,Proposal,6618,2024-06-12,2024-08-01,False
10071,3041,Proposal,34143,2024-06-29,2025-06-14,False
10072,3824,Negotiation,33425,2025-06-15,2025-05-09,False
10073,4417,Proposal,26673,2024-06-28,2025-02-04,False
10074,3612,Closed Won,13603,2024-04-17,2024-05-10,True
10075,3945,Closed Lost,9368,2024-02-19,2024-02-26,False
10076,2363,Proposal,8621,2025-01-02,2025-05-16,False
10077,3139,Qualification,18719,2024-04-02,2024-04-20,False
10078,2390,Proposal,33227,2025-03-25,2024-04-13,False
10079,4003,Closed Lost,11566,2025-01-17,2024-04-28,False
10080,2478,Qualification,16306,2025-05-20,2024-04-29,False
10081,4499,Negotiation,28042,2025-01-27,2024-07-17,False
10082,3556,Negotiation,19086,2024-10-23,2024-08-26,False
10083,1775,Negotiation,21387,2024-03-14,2025-03-16,False
10084,1034,Prospecting,31042,2025-05-25,2024-08-06,False
10085,3253,Negotiation,27888,2024-05-15,2024-10-21,False
10086,4152,Closed Lost,30514,2024-09-27,2025-06-16,False
10087,2955,Qualification,22323,2024-09-08,2025-01-29,False
10088,2585,Qualification,22019,2025-03-02,2024-09-23,False
10089,4943,Closed Lost,13890,2025-06-15,2025-03-01,False
10090,4459,Qualification,14283,2025-01-14,2025-05-30,False
10091,4073,Closed Won,22279,2024-12-31,2024-06-21,True
10092,2021,Proposal,26908,2025-02-16,2025-07-21,False
10093,4461,Qualification,41952,2025-01-21,2025-02-05,False
10094,3613,Closed Won,39170,2024-01-21,2025-05-11,True
10095,2129,Proposal,41663,2024-03-10,2025-08-07,False
10096,4843,Proposal,13343,2025-01-12,2025-07-26,False
10097,4893,Proposal,14637,2025-03-25,2024-11-29,False
10098,2500,Proposal,38724,2024-01-07,2025-06-20,False
10099,1702,Qualification,33134,2024-05-30,2024-05-03,False
10100,3449,Proposal,7907,2024-05-06,2025-03-01,False
10101,3777,Closed Lost,37575,2024-05-12,2024-09-19,False
10102,2579,Qualification,8827,2024-11-16,2024-09-25,False
10103,1161,Negotiation,34607,2024-06-20,2025-07-22,False
10104,1201,Qualification,17699,2024-08-22,2025-06-29,False
10105,2981,Negotiation,41292,2024-05-14,2024-10-03,False
10106,1995,Prospecting,29883,2024-09-16,2025-06-13,False
10107,3317,Closed Lost,9313,2024-10-05,2024-05-08,False
10108,4934,Proposal,17598,2024-04-12,2024-06-21,False
10109,1815,Qualification,32807,2025-05-02,2024-10-22,False
10110,4342,Prospecting,8887,2025-02-27,2024-04-06,False
10111,1455,Qualification,7854,2024-12-19,2024-07-31,False
